DI_Code	DI_Term	SCT_ID	SCT_Description	Primary_Code1	Primary_Term1	Primary_Code2	Primary_Term2	Primary_Code3	Primary_Term3	Primary_Code4	Primary_Term4	Y_Code1	Y_Term1	Y_Code2	Y_Term2	Y_Code3	Y_Term3	Z_code1	Z_Term1	Z_code2	Z_Term2	Z_code3	Z_Term3	Z_code4	Z_Term4	Z_code5	Z_Term5	O_Code	O_Term	Annotation
IVCEBE	Pc embolisation cephalic vein Both	434225009	Percutaneous embolization of cephalic vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.1	Cephalic vein											
IVCEBS	Pc stent cephalic vein Both	433778000	Fluoroscopic venography of cephalic vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.1	Cephalic vein											
IVCELE	Pc embolisation cephalic vein Left	434225009	Percutaneous embolization of cephalic vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.1	Cephalic vein											
IVCELS	Pc stent cephalic vein Left	433778000	Fluoroscopic venography of cephalic vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.1	Cephalic vein											
IVCERE	Pc embolisation cephalic vein Right	434225009	Percutaneous embolization of cephalic vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.1	Cephalic vein											
IVCERS	Pc stent cephalic vein Right	433778000	Fluoroscopic venography of cephalic vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.1	Cephalic vein											
IVCFBE	Pc embolisation common femoral vein B	434027006	Percutaneous embolization of common femoral vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.1	Common femoral vein											
IVCFBS	Pc stent common femoral vein Both	433057007	Fluoroscopic venography of common femoral vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z98.1	Common femoral vein											
IVCFLE	Pc embolisation common femoral vein Lt	434027006	Percutaneous embolization of common femoral vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.1	Common femoral vein											
IVCFLS	Pc stent common femoral vein Left	433057007	Fluoroscopic venography of common femoral vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z98.1	Common femoral vein											
IVCFRE	Pc embolisation common femoral vein Rt	434027006	Percutaneous embolization of common femoral vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.1	Common femoral vein											
IVCFRS	Pc stent common femoral vein Right	433057007	Fluoroscopic venography of common femoral vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z98.1	Common femoral vein											
IVCVFE	Pc venous Emb cerebral AVF	438526003	Percutaneous venous embolization of cerebral arteriovenous fistula using fluoroscopic guidance (procedure)	L75.5	Percutaneous transluminal venous embolisation of arteriovenous malformation							Y53.4	Approach to organ under fluoroscopic control					Z91.8	Specified vein of upper body NEC											
IVDPUE	Pc venous embolisation direct puncture	440455007	Percutaneous embolization of vein by direct puncture using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control																	
IVEABP	Pc balloon test Occl vertebral artery	438350002	Percutaneous transluminal balloon test occlusion of vertebral artery using fluoroscopic guidance (procedure)	L66.4	Percutaneous transluminal balloon test occlusion of artery							Y53.4	Approach to organ under fluoroscopic control					Z36.5	Vertebral artery											
IVEINS	Pc insertion vein stent	439091001	Percutaneous insertion of stent into vein using fluoroscopic guidance (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control																	
IVEMAI	Pc sclerotherapy venous malformation	443382004	Percutaneous sclerotherapy of venous malformation using fluoroscopic guidance (procedure)	L94.8	Other specified therapeutic transluminal operations on vein							Y12.1	Injection of sclerosing substance into lesion of organ NOC	Y53.4	Approach to organ under fluoroscopic control															
IVENHP	Pc transluminal venoplasty hepatic vein	726550007	Percutaneous transluminal venoplasty of hepatic vein using fluoroscopic guidance (procedure)	L94.6	Percutaneous transluminal venoplasty							Y53.4	Approach to organ under fluoroscopic control					Z39.6	Hepatic vein											
IVENOP	Venoplasty	431581003	Venoplasty using fluoroscopic guidance (procedure)	L94.6	Percutaneous transluminal venoplasty							Y53.4	Approach to organ under fluoroscopic control																	
IVEPOI	Fluoro Guid Insert venous access port	847721000000104	Insertion of implantable venous access port using fluoroscopic guidance (procedure)	L94.3	Percutaneous transluminal insertion of subcutaneous port							Y53.4	Approach to organ under fluoroscopic control																	
IVERL	Pc Balln Occl vertebral artery Lt	700494002	Percutaneous transluminal balloon occlusion of vertebral artery using fluoroscopic guidance (procedure)	L66.3	Percutaneous transluminal occlusion of artery							Y53.4	Approach to organ under fluoroscopic control					Z36.5	Vertebral artery											
IVERR	Pc Balln Occl vertebral artery Rt	700494002	Percutaneous transluminal balloon occlusion of vertebral artery using fluoroscopic guidance (procedure)	L66.3	Percutaneous transluminal occlusion of artery							Y53.4	Approach to organ under fluoroscopic control					Z36.5	Vertebral artery											
IVETOS	Pc stent right ventricular outflow tract	443532008	Percutaneous insertion of stent into right ventricular outflow tract using fluoroscopic guidance (procedure)	K38.8	Other specified other operations on structure adjacent to valve of heart							Y14.9	Unspecified placement of stent in organ NOC	Y53.4	Approach to organ under fluoroscopic control															
IVFABE	Pc embolisation forearm vein Both	431961007	Percutaneous embolization of superficial forearm vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.9	Vein of upper body NEC											
IVFABS	Pc stent forearm vein Both	432780002	Fluoroscopic venography of superficial forearm vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.9	Vein of upper body NEC											
IVFALE	Pc embolisation forearm vein Left	431961007	Percutaneous embolization of superficial forearm vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.9	Vein of upper body NEC											
IVFALS	Pc stent forearm vein Left	432780002	Fluoroscopic venography of superficial forearm vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.9	Vein of upper body NEC											
IVFARE	Pc embolisation forearm vein Right	431961007	Percutaneous embolization of superficial forearm vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.9	Vein of upper body NEC											
IVFARS	Pc stent forearm vein Right	432780002	Fluoroscopic venography of superficial forearm vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.9	Vein of upper body NEC											
IVGAJE	Pc transjugular Emb gastric vein	439099004	Percutaneous transjugular embolization of gastric vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.8	Specified vein NEC											
IVGAME	Pc Emb vein galen aneurysm malformation	443081003	Percutaneous embolization of aneurysm malformation of great cerebral vein of Galen using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.8	Specified vein of upper body NEC											
IVGASE	Balloon occluded retrograde Emb gastric	431532000	Percutaneous retrograde balloon embolization of occluded gastric vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.8	Specified vein NEC											
IVHEPE	Pc embolisation hepatic vein	432766009	Percutaneous embolization of hepatic vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.6	Hepatic vein											
IVHEPS	Venous stent hepatic vein	430614000	Fluoroscopic venography of hepatic vein with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z39.6	Hepatic vein											
IVHEPX	Pc Mech thrombectomy hepatic vein	431795002	Percutaneous mechanical thrombectomy of hepatic vein using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z39.6	Hepatic vein											
IVILBE	Pc embolisation iliac vein Both	432305007	Percutaneous embolization of iliac vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.1	Iliac vein											
IVILBS	Pc stent iliac vein Both	431603006	Fluoroscopic venography of iliac vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z93.1	Iliac vein											
IVILLE	Pc embolisation iliac vein Left	432305007	Percutaneous embolization of iliac vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.1	Iliac vein											
IVILLS	Pc stent iliac vein Left	431603006	Fluoroscopic venography of iliac vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z93.1	Iliac vein											
IVILRE	Pc embolisation iliac vein Right	432305007	Percutaneous embolization of iliac vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.1	Iliac vein											
IVILRS	Pc stent iliac vein Right	431603006	Fluoroscopic venography of iliac vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z93.1	Iliac vein											
IVINBE	Pc embolisation innominate vein Both	432379002	Percutaneous embolization of innominate vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.2	Brachiocephalic vein											
IVINBS	Pc stent innominate vein Both	429795005	Fluoroscopic venography of brachiocephalic vein with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.2	Brachiocephalic vein											
IVINLE	Pc embolisation innominate vein Left	432379002	Percutaneous embolization of innominate vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.2	Brachiocephalic vein											
IVINRE	Pc embolisation innominate vein Right	432379002	Percutaneous embolization of innominate vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.2	Brachiocephalic vein											
IVIVCE	Pc embolisation inferior vena cava	432376009	Percutaneous embolization of inferior vena cava using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.2	Inferior vena cava											
IVIVCS	Pc stent inferior vena cava	439092008	Percutaneous transluminal insertion of stent into inferior vena cava using fluoroscopic guidance (procedure)	L79.3	Insertion of stent into vena cava NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z39.2	Inferior vena cava											
IVIVCX	Pc mechanical thrombectomy IVC	432942006	Percutaneous mechanical thrombectomy of inferior vena cava using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z39.2	Inferior vena cava											
IVLLBX	Pc mechanical thrombectomy LL veins B	431426008	Percutaneous mechanical thrombectomy of vein of lower limb using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z98.9	Vein of lower limb NEC											
IVLLLX	Pc mechanical thrombectomy LL veins Lt	431426008	Percutaneous mechanical thrombectomy of vein of lower limb using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z98.9	Vein of lower limb NEC											
IVLLRX	Pc mechanical thrombectomy LL veins Rt	431426008	Percutaneous mechanical thrombectomy of vein of lower limb using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z98.9	Vein of lower limb NEC											
IVLPPI	Insertion of ventricular PPM lead	911181000000105	Insertion of permanent pacemaker ventricular lead using fluoroscopic guidance (procedure)	K61.1	Implantation of cardiac pacemaker system NEC							Y53.4	Approach to organ under fluoroscopic control																	
IVMESE	Pc embolisation mesenteric vein	432432001	Percutaneous embolization of mesenteric vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.8	Specified vein NEC											
IVMESS	Pc stent mesenteric vein	432429004	Fluoroscopic venography of mesenteric vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z39.8	Specified vein NEC											
IVMESX	Pc Mech thrombectomy mesenteric vein	431254004	Percutaneous mechanical thrombectomy of mesenteric vein using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z39.8	Specified vein NEC											
IVOEBE	Pc embolisation ovarian vein Both	434031000	Percutaneous embolization of ovarian vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.2	Ovarian vein											
IVOEJE	Pc transjugular Emb oesophageal vein	439542000	Percutaneous transjugular embolization of esophageal vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.8	Specified vein NEC											
IVOVAE	Embolisation of ovarian vein	432108001	Embolization of ovarian vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.2	Ovarian vein											
IVOVLE	Pc embolisation ovarian vein Left	434031000	Percutaneous embolization of ovarian vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.2	Ovarian vein											
IVOVRE	Pc embolisation ovarian vein Right	434031000	Percutaneous embolization of ovarian vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.2	Ovarian vein											
IVPLAJ	Vertebroplasty	431911003	Vertebroplasty using fluoroscopic guidance (procedure)	V44.4	Vertebroplasty of fracture of spine	V55.9	Unspecified levels of spine					Y53.4	Approach to organ under fluoroscopic control																	
IVPOBE	Pc embolisation popliteal vein Both	432502006	Percutaneous embolization of popliteal vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.4	Popliteal vein											
IVPOBS	Pc stent popliteal vein Both	433026007	Fluoroscopic venography of popliteal vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z98.4	Popliteal vein											
IVPOLE	Pc embolisation popliteal vein Left	432502006	Percutaneous embolization of popliteal vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.4	Popliteal vein											
IVPOLS	Pc stent popliteal vein Left	433026007	Fluoroscopic venography of popliteal vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z98.4	Popliteal vein											
IVPORE	Pc embolisation popliteal vein Right	432502006	Percutaneous embolization of popliteal vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.4	Popliteal vein											
IVPORS	Pc stent popliteal vein Right	433026007	Fluoroscopic venography of popliteal vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z98.4	Popliteal vein											
IVPOTE	Pc embolisation portal vein	432695007	Percutaneous embolization of portal vein using fluoroscopic guidance (procedure)	J10.2	Percutaneous transluminal embolisation of portal vein							Y53.4	Approach to organ under fluoroscopic control																	
IVPOTX	Pc mechanical thrombectomy portal vein	433112001	Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z39.3	Portal vein											
IVPRTS	Venous stent portal vein	429799004	Fluoroscopic venography of portal vein with insertion of stent (procedure)	J15.4	Percutaneous transluminal insertion of stent into portal vein							Y53.4	Approach to organ under fluoroscopic control																	
IVREBE	Pc embolisation renal vein Both	432308009	Percutaneous embolization of renal vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.4	Renal vein											
IVREBS	Pc stent renal vein Both	432069009	Fluoroscopic venography of renal vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z39.4	Renal vein											
IVREC	Fluoro guided recanalisation vein	869231000000109	Recanalisation of vein using fluoroscopic guidance (procedure)	L94.8	Other specified therapeutic transluminal operations on vein							Y53.4	Approach to organ under fluoroscopic control																	
IVRELE	Pc embolisation renal vein Left	432308009	Percutaneous embolization of renal vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.4	Renal vein											
IVRELS	Pc stent renal vein Left	432069009	Fluoroscopic venography of renal vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z39.4	Renal vein											
IVRERE	Pc embolisation renal vein Right	432308009	Percutaneous embolization of renal vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.4	Renal vein											
IVRERS	Pc stent renal vein Right	432069009	Fluoroscopic venography of renal vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z39.4	Renal vein											
IVRES	Renal vein sampling	431867007	Sampling of blood of renal vein using fluoroscopic guidance (procedure)	X36.3	Venous sampling							Y53.4	Approach to organ under fluoroscopic control					Z39.4	Renal vein											
IVSCBE	Pc embolisation subclavian vein Both	434220004	Percutaneous embolization of subclavian vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.4	Subclavian vein											
IVSCLE	Pc embolisation subclavian vein Left	434220004	Percutaneous embolization of subclavian vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.4	Subclavian vein											
IVSCLS	Venous stent subclavian vein Lt	431453007	Fluoroscopic venography of subclavian vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.4	Subclavian vein											
IVSCRE	Pc embolisation subclavian vein Right	434220004	Percutaneous embolization of subclavian vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z91.4	Subclavian vein											
IVSCRS	Venous stent subclavian vein Rt	431453007	Fluoroscopic venography of subclavian vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.4	Subclavian vein											
IVSDC	Ventricular septal defect closure	442087005	Closure of ventricular septal defect using fluoroscopic guidance (procedure)	K11.9	Unspecified repair of defect of interventricular septum							Y53.4	Approach to organ under fluoroscopic control																	
IVSFBE	Pc Emb Superficial femoral vein Both	433818000	Percutaneous embolization of superficial femoral vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.3	Superficial femoral vein											
IVSFBS	Pc stent superficial femoral vein B	431860009	Fluoroscopic venography of superficial femoral vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z98.3	Superficial femoral vein											
IVSFLE	Pc Emb Superficial femoral vein Left	433818000	Percutaneous embolization of superficial femoral vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.3	Superficial femoral vein											
IVSFLS	Pc stent superficial femoral vein Lt	431860009	Fluoroscopic venography of superficial femoral vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z98.3	Superficial femoral vein											
IVSFRE	Pc Emb Superficial femoral vein Right	433818000	Percutaneous embolization of superficial femoral vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.3	Superficial femoral vein											
IVSFRS	Pc stent superficial femoral vein Rt	431860009	Fluoroscopic venography of superficial femoral vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z98.3	Superficial femoral vein											
IVSUBS	Pc stent subclavian vein Both	431453007	Fluoroscopic venography of subclavian vein using contrast with insertion of stent (procedure)	L94.5	Percutaneous transluminal insertion of stent into vein NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z91.4	Subclavian vein											
IVSVCE	Pc embolisation superior vena cava	432438002	Percutaneous embolization of superior vena cava using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z39.1	Superior vena cava											
IVSVCS	Pc stent superior vena cava	439093003	Percutaneous transluminal insertion of stent into superior vena cava using fluoroscopic guidance (procedure)	L79.3	Insertion of stent into vena cava NEC	L76.9	Unspecified endovascular placement of stent					Y53.4	Approach to organ under fluoroscopic control					Z39.1	Superior vena cava											
IVSVCX	Pc mechanical thrombectomy SVC	431661005	Percutaneous mechanical thrombectomy of superior vena cava using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z39.1	Superior vena cava											
IVTEBE	Pc embolisation testicular vein Both	432497009	Percutaneous embolization of testicular vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.3	Testicular vein											
IVTELE	Pc embolisation testicular vein Left	432497009	Percutaneous embolization of testicular vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.3	Testicular vein											
IVTERE	Pc embolisation testicular vein Right	432497009	Percutaneous embolization of testicular vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.3	Testicular vein											
IVTESE	Embolisation of testicular vein	419031005	Fluoroscopic venography and embolization of testicular vein (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z93.3	Testicular vein											
IVTHEP	PTL Venoplasty transplanted hepatic vein	726555002	Percutaneous venoplasty of transplanted hepatic vein using fluoroscopic guidance (procedure)	L94.6	Percutaneous transluminal venoplasty							Y53.4	Approach to organ under fluoroscopic control					Z39.6	Hepatic vein											
IVTIBE	Pc embolisation tibial vein Both	432503001	Percutaneous embolization of tibial vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.7	Tibial vein											
IVTILE	Pc embolisation tibial vein Left	432503001	Percutaneous embolization of tibial vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.7	Tibial vein											
IVTIP	TIPSS venography	431726007	Fluoroscopic venography of transjugular intrahepatic portosystemic shunt stent using contrast (procedure)	J11.5	Transjugular intrahepatic venography of portal vein							Y53.4	Approach to organ under fluoroscopic control																	
IVTIPS	TIPSS with metal stent	432689006	Fluoroscopic venography of transjugular intrahepatic portosystemic shunt using contrast with insertion of metal stent (procedure)	J06.1	Transjugular intrahepatic insertion of stent into portal vein	L76.1	Endovascular placement of one metallic stent					Y53.4	Approach to organ under fluoroscopic control																	
IVTIRE	Pc embolisation tibial vein Right	432503001	Percutaneous embolization of tibial vein using fluoroscopic guidance (procedure)	L94.1	Percutaneous transluminal embolisation of vein							Y53.4	Approach to organ under fluoroscopic control					Z98.7	Tibial vein											
IVTST	Cardiac ventricular tachycardia Stim	433154003	Insertion of catheter into cardiac ventricle for stimulation using fluoroscopy guidance (procedure)	K65.8	Other specified catheterisation of heart							Y53.4	Approach to organ under fluoroscopic control																	
IVULBX	Pc mechanical thrombectomy UL veins B	431303002	Percutaneous mechanical thrombectomy of vein of upper limb using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z91.8	Specified vein of upper body NEC											
IVULLX	Pc mechanical thrombectomy UL veins Lt	431303002	Percutaneous mechanical thrombectomy of vein of upper limb using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z91.8	Specified vein of upper body NEC											
IVULRX	Pc mechanical thrombectomy UL veins Rt	431303002	Percutaneous mechanical thrombectomy of vein of upper limb using fluoroscopic guidance (procedure)	L96.1	Percutaneous mechanical thromboembolectomy							Y53.4	Approach to organ under fluoroscopic control					Z91.8	Specified vein of upper body NEC											
